highest_layer,transport_layer,src_ip,dst_ip,src_port,dst_port,ip_flag,packet_length,transport_flag,time,timestamp,geo_country,data
TCP,TCP,8.254.250.126,192.168.10.5,80,49188,0,0,17,2017-07-03 17:25:58.598308,1499082958598,Unknown,
TCP,TCP,8.254.250.126,192.168.10.5,80,49188,0,0,17,2017-07-03 17:25:58.598312,1499082958598,Unknown,
TCP,TCP,8.254.250.126,192.168.10.5,80,49188,0,0,17,2017-07-03 17:25:58.598313,1499082958598,Unknown,
TCP,TCP,8.254.250.126,192.168.10.5,80,49188,0,0,17,2017-07-03 17:25:58.598314,1499082958598,Unknown,
TCP,TCP,8.254.250.126,192.168.10.5,80,49188,0,0,17,2017-07-03 17:25:58.598315,1499082958598,Unknown,
TCP,TCP,8.254.250.126,192.168.10.5,80,49188,0,0,17,2017-07-03 17:25:58.598316,1499082958598,Unknown,
TCP,TCP,8.254.250.126,192.168.10.5,80,49188,0,0,17,2017-07-03 17:25:58.598317,1499082958598,Unknown,
TCP,TCP,8.254.250.126,192.168.10.5,80,49188,0,0,17,2017-07-03 17:25:58.598318,1499082958598,Unknown,
TCP,TCP,8.253.185.121,192.168.10.14,80,49486,0,0,17,2017-07-03 17:26:22.331018,1499082982331,Unknown,
TCP,TCP,8.253.185.121,192.168.10.14,80,49486,0,0,17,2017-07-03 17:26:22.331021,1499082982331,Unknown,
TCP,TCP,8.253.185.121,192.168.10.14,80,49486,0,0,17,2017-07-03 17:26:22.331022,1499082982331,Unknown,
TCP,TCP,8.253.185.121,192.168.10.14,80,49486,0,0,17,2017-07-03 17:26:22.331023,1499082982331,Unknown,
TCP,TCP,8.253.185.121,192.168.10.14,80,49486,0,0,17,2017-07-03 17:26:22.331024,1499082982331,Unknown,
TCP,TCP,8.253.185.121,192.168.10.14,80,49486,0,0,17,2017-07-03 17:26:22.331025,1499082982331,Unknown,
TCP,TCP,8.253.185.121,192.168.10.14,80,49486,0,0,17,2017-07-03 17:26:22.331026,1499082982331,Unknown,
TCP,TCP,8.253.185.121,192.168.10.14,80,49486,0,0,17,2017-07-03 17:26:22.331027,1499082982331,Unknown,
TCP,TCP,8.253.185.121,192.168.10.14,80,49486,0,0,17,2017-07-03 17:26:22.331028,1499082982331,Unknown,
IGMP,NONE,192.168.10.9,224.0.0.22,-1,-1,0,0,-1,2017-07-03 17:26:37.567312,1499082997567,Unknown,
IGMP,NONE,192.168.10.9,224.0.0.22,-1,-1,0,0,-1,2017-07-03 17:26:37.567472,1499082997567,Unknown,
IGMP,NONE,192.168.10.9,224.0.0.22,-1,-1,0,0,-1,2017-07-03 17:26:37.568616,1499082997568,Unknown,
LLMNR,UDP,192.168.10.9,224.0.0.252,60372,5355,0,0,-1,2017-07-03 17:26:37.568863,1499082997568,Unknown,
LLMNR,UDP,192.168.10.9,224.0.0.252,60372,5355,0,0,-1,2017-07-03 17:26:37.568866,1499082997568,Unknown,
LLMNR,UDP,192.168.10.9,224.0.0.252,60372,5355,0,0,-1,2017-07-03 17:26:37.568868,1499082997568,Unknown,
LLMNR,UDP,192.168.10.9,224.0.0.252,60372,5355,0,0,-1,2017-07-03 17:26:37.568869,1499082997568,Unknown,
LLMNR,UDP,192.168.10.9,224.0.0.252,60372,5355,0,0,-1,2017-07-03 17:26:37.568870,1499082997568,Unknown,
LLMNR,UDP,192.168.10.9,224.0.0.252,60372,5355,0,0,-1,2017-07-03 17:26:37.568871,1499082997568,Unknown,
LLMNR,UDP,192.168.10.9,224.0.0.252,60372,5355,0,0,-1,2017-07-03 17:26:37.568872,1499082997568,Unknown,
LLMNR,UDP,192.168.10.9,224.0.0.252,60372,5355,0,0,-1,2017-07-03 17:26:37.568874,1499082997568,Unknown,
LLMNR,UDP,192.168.10.9,224.0.0.252,60372,5355,0,0,-1,2017-07-03 17:26:37.568875,1499082997568,Unknown,
IGMP,NONE,192.168.10.9,224.0.0.22,-1,-1,0,0,-1,2017-07-03 17:26:37.651836,1499082997651,Unknown,
LLMNR,UDP,192.168.10.9,224.0.0.252,60372,5355,0,0,-1,2017-07-03 17:26:37.667494,1499082997667,Unknown,
LLMNR,UDP,192.168.10.9,224.0.0.252,60372,5355,0,0,-1,2017-07-03 17:26:37.667499,1499082997667,Unknown,
LLMNR,UDP,192.168.10.9,224.0.0.252,60372,5355,0,0,-1,2017-07-03 17:26:37.667500,1499082997667,Unknown,
LLMNR,UDP,192.168.10.9,224.0.0.252,60372,5355,0,0,-1,2017-07-03 17:26:37.667501,1499082997667,Unknown,
LLMNR,UDP,192.168.10.9,224.0.0.252,60372,5355,0,0,-1,2017-07-03 17:26:37.667502,1499082997667,Unknown,
LLMNR,UDP,192.168.10.9,224.0.0.252,60372,5355,0,0,-1,2017-07-03 17:26:37.667503,1499082997667,Unknown,
LLMNR,UDP,192.168.10.9,224.0.0.252,60372,5355,0,0,-1,2017-07-03 17:26:37.667504,1499082997667,Unknown,
LLMNR,UDP,192.168.10.9,224.0.0.252,60372,5355,0,0,-1,2017-07-03 17:26:37.667506,1499082997667,Unknown,
LLMNR,UDP,192.168.10.9,224.0.0.252,60372,5355,0,0,-1,2017-07-03 17:26:37.667507,1499082997667,Unknown,
NBNS,UDP,192.168.10.9,192.168.10.3,137,137,0,0,-1,2017-07-03 17:26:37.897192,1499082997897,Unknown,
NBNS,UDP,192.168.10.9,192.168.10.3,137,137,0,0,-1,2017-07-03 17:26:37.897196,1499082997897,Unknown,
NBNS,UDP,192.168.10.3,192.168.10.9,137,137,0,0,-1,2017-07-03 17:26:37.897423,1499082997897,Unknown,
NBNS,UDP,192.168.10.3,192.168.10.9,137,137,0,0,-1,2017-07-03 17:26:37.897427,1499082997897,Unknown,
DNS,UDP,192.168.10.9,192.168.10.3,63683,53,0,0,-1,2017-07-03 17:26:37.908429,1499082997908,Unknown,
